tenure,monthly_charges,contract_type,internet_service,payment_method,senior_citizen,churn
27.592348438162738,42.58762823966887,2,1,2,1,0
68.50071575510405,76.48059000094403,2,0,3,0,0
52.97156986860976,107.92985440825879,2,0,3,1,0
43.5047523779896,94.56136420890832,1,2,0,0,0
12.077323471412992,101.62330904683772,1,2,2,0,0
12.075610943870387,87.58441983751814,1,0,2,1,0
5.123936463942162,90.76627362919598,2,0,3,0,1
62.4985063500204,105.67358689870534,1,0,0,0,0
43.679165833767826,48.718460841622665,0,1,2,0,1
51.27315302351923,71.49537154609834,0,1,3,0,0
2.4614990950019737,46.01489697286221,1,1,1,0,0
69.8635995035016,118.82846075968146,0,0,0,0,0
60.103427496829944,114.68563727022826,0,2,1,1,1
16.076076858157606,28.74554708000806,2,0,0,0,0
13.909572671704144,92.0296413889904,1,1,3,1,0
14.021720199593801,112.89859015448825,1,1,2,1,0
22.601199250127177,42.15465778709668,2,0,2,0,0
38.25770664588889,78.9547969024998,0,0,2,1,1
31.66809632359022,111.97138827086397,0,1,0,1,1
21.677268954060978,28.22486796565089,1,1,3,0,1
44.44155552528894,91.25492538844979,0,1,1,0,1
10.904064106294971,53.248155700392324,2,0,3,0,1
21.74227004600049,112.81763856077039,2,1,1,1,0
27.01169087385211,117.25053329070994,1,1,0,1,0
33.38096887940955,114.70531646577622,2,2,0,0,1
56.747493258903965,70.05035058245906,2,0,1,0,0
15.176838533243542,106.89405184398477,1,2,1,1,0
37.51064512736642,105.23219286083169,2,2,1,1,0
43.06143438920502,55.31454495810928,2,1,3,1,0
4.297979303119838,103.74697004431435,2,0,1,1,1
44.13568448500212,28.515725297971798,0,1,0,0,0
13.107212781797699,81.64563845579504,1,0,0,1,1
5.618663101954846,46.85083954233179,1,2,2,1,0
68.37087314498666,36.45385414884149,1,0,1,1,0
69.55987434829372,32.31055415477487,0,1,3,1,0
58.39621171626874,91.14743370842328,0,1,3,0,1
22.62757761130932,57.288121557966285,1,1,3,0,0
7.9347200944532545,93.85284329523233,0,0,2,1,1
49.58054488236314,31.208852375899525,1,2,0,1,0
32.25082705551169,54.95258209390798,0,2,3,0,1
9.664714673979297,76.25167277565703,2,0,0,0,0
36.15756061790018,100.11870065970153,2,1,2,1,0
3.441584999180506,55.28148777854664,1,2,1,1,1
65.56174854759352,84.45968076151587,0,1,1,0,1
19.3733786936012,109.16788608243778,0,0,1,0,0
48.03908218913272,83.50700287731894,2,1,3,0,1
23.131486402348177,47.13115010159521,2,2,1,0,1
37.924829503624565,27.318074247871113,0,2,3,0,1
39.81642983337286,107.65939302058834,0,1,2,0,1
14.12466634231242,27.02059403078678,0,0,2,1,1
69.84050857128366,108.09665890499895,0,1,3,0,1
56.034430458639136,75.24902773258515,0,0,0,0,1
67.70442485105742,114.21143135872514,0,1,1,0,1
64.53274188036306,100.88440739849821,1,2,1,0,0
43.45089849558705,119.80374050066706,0,0,1,1,0
66.4530706866413,58.317622467912464,2,0,3,1,0
7.282967645686284,97.88288744845705,1,0,2,0,1
14.914783231759309,63.183436792878005,0,2,1,1,1
4.211137512648203,70.58818392887133,2,1,2,1,0
24.09845348419177,84.61301900574516,1,2,1,1,1
28.596087567953223,107.99932584770218,2,0,1,1,1
20.26578125594661,118.48792957393303,0,1,3,1,0
59.84036314978698,97.98597431712923,0,2,0,1,1
26.32948619524484,64.6878443058967,0,0,3,0,1
20.946350187804033,65.02891521632166,0,0,1,0,1
39.53142190423564,95.07031865094469,1,2,1,0,0
11.005619973208148,47.68382884798872,1,2,0,0,1
57.95598563353682,35.49504074748249,2,2,2,0,0
6.293095701263728,58.68910497587377,0,0,2,1,1
71.06897249863673,52.287704207137764,2,2,1,0,1
55.82937862006268,53.14927144331906,1,0,2,0,1
15.10881338892624,47.192736349741445,0,2,1,1,0
1.3920703157757703,28.99885301545438,0,0,0,1,1
58.89776142029323,26.698023799674313,1,0,0,0,0
51.18687141318082,118.833627024923,1,1,1,1,0
52.7595089309101,65.63844770490692,1,2,0,1,1
55.76019461470215,61.51103148016976,1,2,3,1,1
6.2571702731204155,89.56649185584163,1,0,3,1,1
26.451066726643354,45.73411934718109,0,0,0,0,0
9.22670322628421,115.24631247527141,1,0,1,1,1
62.28034323716714,99.70277636947745,0,1,1,0,1
45.25416700475661,33.494045219664656,0,1,0,0,1
24.49375976453809,64.6701736995682,1,0,2,1,0
5.512642870307678,108.51623921840564,1,2,3,1,1
23.079744841812015,114.74954211768397,0,2,2,1,1
24.08801586389904,69.40314356873762,1,1,1,0,1
52.80203866200255,83.27408197501722,1,1,1,1,0
46.266580466220134,40.86822487874714,1,0,2,1,1
63.99210472291919,119.16101948301277,2,2,0,1,0
34.5272596864984,47.00881163142712,0,0,2,1,1
9.49119146161942,114.55951854283694,2,1,2,1,0
51.64037989283265,86.716431654275,1,2,3,0,0
55.01573845179972,82.73499551349161,2,2,3,1,1
40.850681027434234,73.70540854656832,1,1,2,1,0
55.73866977677383,46.91363211318708,2,0,2,1,1
36.059487341871744,41.770163040523286,1,0,1,0,0
38.114030886121576,45.94618986166666,2,2,3,1,0
31.355412303457022,42.71163490370418,2,1,3,0,0
